function_name,timeout,is_schedule,is_mask,is_trim,rotate,time,iterations,queue,input_len,paths
mult,300,true,true,true,false,41,566717,discard,27,3
mult,300,true,true,true,false,42,1346436,successful,16,3
mult,300,true,true,true,false,47,1548894,successful,13,3
mult,300,true,true,true,false,15,839691,successful,16,3
mult,300,true,true,true,false,70,1505442,successful,15,3
mult,300,true,true,true,false,114,792561,discard,15,3
mult,300,true,true,true,false,118,2012098,successful,8,3
mult,300,true,true,true,false,19,620926,successful,19,3
mult,300,true,true,true,false,205,2268885,successful,15,3
mult,300,true,true,true,false,108,1422592,successful,20,3
mult,300,true,true,true,false,43,1431994,successful,17,3
mult,300,true,true,true,false,54,966182,successful,15,3
mult,300,true,true,true,false,51,1108923,successful,18,3
mult,300,true,true,true,false,257,5309245,successful,17,3
mult,300,true,true,true,false,188,3155949,successful,16,3
mult,300,true,true,true,false,34,1827359,successful,18,3
mult,300,true,true,true,false,160,3452765,successful,15,3
mult,300,true,true,true,false,154,3190733,successful,14,4
mult,300,true,true,true,false,75,1784125,successful,12,3
mult,300,true,true,true,false,50,790347,successful,10,3
mult,300,true,true,true,false,3,177837,discard,10,3
mult,300,true,true,true,false,54,2753420,successful,16,3
mult,300,true,true,true,false,38,739326,successful,13,3
mult,300,true,true,true,false,246,2579907,successful,13,3
mult,300,true,true,true,false,186,7832230,successful,14,3
mult,300,true,true,true,false,181,4329152,successful,16,3
mult,300,true,true,true,false,20,1253872,successful,11,3
mult,300,true,true,true,false,21,1064299,discard,25,3
mult,300,true,true,true,false,296,5013438,successful,11,4
mult,300,true,true,true,false,273,7985453,successful,16,4

mult,300,true,true,false,false,26,1302837,successful,15,3
mult,300,true,true,false,false,227,845753,successful,27,3
mult,300,true,true,false,false,274,2722857,successful,24,3
mult,300,true,true,false,false,103,2252292,successful,30,3
mult,300,true,true,false,false,52,1857614,successful,23,3
mult,300,true,true,false,false,114,1366874,successful,14,3
mult,300,true,true,false,false,123,1844004,discard,17,4
mult,300,true,true,false,false,23,954643,discard,6,3
mult,300,true,true,false,false,7,225892,successful,27,3
mult,300,true,true,false,false,108,1605552,successful,28,3
mult,300,true,true,false,false,149,714947,discard,19,4
mult,300,true,true,false,false,216,1725428,successful,25,3
mult,300,true,true,false,false,10,646982,successful,19,3
mult,300,true,true,false,false,34,1512748,successful,18,3
mult,300,true,true,false,false,28,1214017,successful,11,3
mult,300,true,true,false,false,231,3151326,successful,23,3
mult,300,true,true,false,false,150,993227,discard,21,3
mult,300,true,true,false,false,101,1987194,discard,11,3
mult,300,true,true,false,false,160,1098317,successful,23,3

